gene_name,IBD7_fpkm,IBD7_1_fpkm,IBD8_fpkm,IBD8_1_fpkm,IBD10_fpkm,IBD10_1_fpkm,hCO_wo_Tc_fpkm,hCO_wo_Tc_1_fpkm
STK17B,5.146695981,5.582768039,5.175045441,5.774869736,6.817834363,6.848449229,2.560711744,3.049138093
APOL6,1.754017045,1.891870099,2.85708119,2.199763823,10.44515501,9.240419426,0.022271628,0.051563926
LRRC8C,0.578672738,0.634848255,0.740452836,0.762939075,0.78882486,0.801562414,0.134585298,0.247298273
SP140,0.810266234,0.634433686,0.711882621,0.842146728,1.226571275,1.541554283,0.060572684,0.093493101
DOK2,2.147920137,2.117531674,1.852554214,2.273772888,3.489522705,3.610234702,0.050974932,0.052452735
TRBC1,19.93649407,15.16392722,13.03125635,24.82729198,25.07685468,28.82719853,0,0
RUNX3,2.324951741,1.658851387,1.689539273,2.670485609,3.863468201,2.803667433,0.024918323,0
CD53,4.833960999,4.992692504,5.937298518,7.220708141,10.23323216,10.36475453,0,0
SAMD9,0.511342413,0.788059675,0.677783511,0.742903227,1.617447148,1.329607583,0.032882735,0.093049087
CSF1,5.353107324,5.805188701,5.190434286,4.506897725,9.826673851,8.944165575,0.998498992,1.12376936
IL32,9.725164292,9.464656456,7.486997693,11.82092649,19.74375675,17.80026695,0,0.018069959
IL7R,2.948098872,1.832412135,1.523313143,3.630800428,2.040424669,2.858603155,0,0
CD96,2.237119479,1.666751228,1.58087627,3.433321521,3.910597869,3.075219713,0,0
AP1S2,23.03136889,24.34034771,23.43613874,18.96332758,22.33679014,22.85120949,11.49928401,14.56410113
ERAP2,1.21116625,1.051347914,1.976856558,2.55106867,5.590014095,5.102819824,0.053148681,0.031251145
GVINP1,0.442213504,0.661557325,0.485422774,0.642219773,0.538924974,0.691039337,0.013356906,0.013744133
GFI1,1.387289441,1.163746813,1.185275522,1.186727011,2.70875888,1.869330276,0,0.105398059
CD48,3.764483559,2.713357982,2.800899009,5.563788717,5.259313382,5.861733768,0,0
CD2,7.610011782,6.148961952,4.332924596,10.07150028,12.93349971,10.95816237,0,0
PTGER4,1.298865365,0.909223104,0.802570823,1.021955413,1.831729441,1.672191786,0,0.102475509
ANXA11,1.932582051,2.115254737,1.83122797,2.484891772,2.520835352,2.360754281,0.814212708,1.021728515
RUNX1,0.508224329,0.389264912,0.227673608,0.402453922,0.728334073,0.523440579,0.043420665,0.070742486
ZC3HAV1,4.078030106,4.322302369,4.097890413,4.170299461,6.924340483,6.661395815,1.792887694,1.640662327
TCIRG1,2.231018358,1.656680956,1.36659679,2.576443712,2.971990786,3.202478345,0.527021958,0.343898032
HLA-E,93.34670105,80.13944396,112.6925853,118.4433137,281.0822365,267.5490523,7.368482049,8.478698172
TBC1D10C,1.698467649,1.875370531,1.052983949,2.262192917,2.681128005,2.392356822,0,0.023227118
UBA7,2.487847149,2.50924905,2.057985968,2.758115458,5.070146147,4.172688701,0.657139209,0.650673586
PIEZO1,1.552095395,2.63654302,1.402212262,1.798186036,2.914021969,2.185851662,0.558936604,0.621357278
AL671883.2,11.52405444,8.721935941,12.89310435,13.37418988,32.17279257,28.33433918,0.28432284,0.877696756
TRIM38,0.432446139,0.40173211,0.266281297,0.547954041,0.656803011,0.553305306,0.023946791,0.012320514
FMNL1,4.022317842,3.620764588,3.098675686,4.955334545,5.112190905,4.901950706,1.85214413,1.102172103
OAS2,1.146250553,1.408606346,0.966202844,1.480068094,2.871234992,2.087686569,0,0.018514208
SP100,0.582479192,0.451915396,0.40213552,0.662314934,1.522562558,1.301105585,0.017864253,0.013786614
TC2N,1.91305611,1.474476276,1.23322789,2.018066574,2.518588634,2.514227083,0.550051604,0.330165522
PLCB2,0.846121893,0.661487642,0.598866505,1.101487181,1.237401069,1.001292768,0.053669321,0.18934367
PARP10,1.60247171,2.427619157,1.864529949,1.904690623,3.701058378,3.894214215,0.457697092,0.557470072
FOS,6.6523596,6.172931307,7.061218068,6.633827201,8.25282561,6.43392569,3.463312103,3.223461958
RPS4Y1,4.74656631,3.456320042,3.493387946,6.084145075,7.007304931,6.892923116,0,0
CCL5,16.90107114,10.52005809,8.490873479,15.24291456,61.0976433,45.22933573,0,0
TAGLN2,24.11943803,20.92509157,20.59933021,21.97327414,32.35806899,28.54478772,11.2614938,11.00507741
PLD1,0.404490399,0.550806258,0.304268956,0.492503861,0.516551919,0.391821152,0.100794315,0.063131735
SERPINB1,1.260829517,1.396806483,0.731082319,1.645960446,1.684448301,2.012692564,0.01821357,0.093707982
CD226,0.381385983,0.206857479,0.277923883,0.51703289,0.704344272,0.539632046,0.04545246,0.029762831
PDPN,11.89596295,8.387474807,6.909972245,7.872814856,10.46157357,13.51530189,2.173846378,3.863680942
KIAA0040,0.697395622,0.752965234,0.613515759,0.723470105,1.110991617,1.04156735,0.011781891,0.072740747
VSIR,0.99225222,1.041756083,0.643769814,1.044025093,1.275380513,1.379961795,0,0.033923459
CAVIN1,3.071984301,5.331274483,3.353761938,3.854620362,4.871904416,3.504947226,1.192417904,1.408762907
CTSS,0.615106674,0.823411769,0.954319555,1.513338909,2.658676678,2.517259201,0.053313895,0.082289261
DES,3.900639407,3.800213093,1.26536069,1.165888649,3.525218508,2.205644909,0.251574941,0.094133927
APOL1,2.393837069,4.86126894,4.690610413,3.469504387,14.05509917,11.80814995,0,0
DGKA,1.710203121,2.268156352,1.639823319,2.531056945,2.500975614,2.233426894,0.877150574,0.85149044
CD3D,8.885149262,7.882576091,5.922589897,12.86116995,16.88497746,14.13765363,0,0
MBOAT1,3.119897615,2.877398862,2.11277922,2.438357978,2.392404833,2.682264201,0.628236197,0.420192022
SP140L,0.74047578,0.626798024,0.46526981,0.947568262,1.320329211,1.472902344,0.029921834,0.010263097
CEMIP,1.090518304,1.275930761,1.435905752,1.773386855,1.501806157,1.93137432,0.473242141,0.486961808
DENND1C,1.918131755,1.301784784,1.273357534,2.15903451,1.77740583,1.714028114,0.266214583,0.53541324
C1RL,2.412998377,3.256181687,1.999605785,2.226675251,3.026564567,2.642023001,0.854170683,0.983018032
TIMP1,32.79914073,24.69509346,16.38446553,23.00606233,27.08926624,24.87087681,8.813122412,10.76193297
PLEKHF1,2.024426461,1.298539708,1.459378776,2.55704038,3.716341551,3.716386897,0.273251111,0.281172878
S100A6,11.81964395,13.04329391,9.192179404,13.24622408,26.25784857,17.25748671,2.08928973,3.881691488
TGFBI,17.14911106,6.963077337,6.269982782,10.6169015,5.135662158,7.067383336,0.735977498,1.046875334
SRGN,6.626798922,5.165989551,8.117831824,10.27511046,18.13451268,17.12267454,0,0
JAML,0.915168205,0.678038456,0.925522019,1.832401678,0.975843579,1.015276477,0,0
TRBC2,27.52230141,22.25159615,17.58215701,35.4011783,44.62380586,38.0895671,0,0.076499339
ATP1B2,44.02447156,45.1644874,47.02637619,48.2099939,52.91975078,44.75699677,28.91606677,33.0643407
APOBEC3C,3.250136582,3.621028872,3.037189662,3.174129779,8.648787247,6.308029645,0.179976963,0.432120823
CDH20,5.435393368,6.513880488,5.179865714,4.993026408,3.808240849,5.662529667,1.874321875,2.435461113
JAK3,2.987388453,2.422804435,2.108697773,3.756581188,4.222287773,3.232334359,0.959477951,1.114961305
PARVG,0.705397789,0.769714709,0.473197478,0.905126123,0.944453453,1.118365932,0.006510257,0.006698995
FERMT3,1.880856262,2.368848438,1.974003462,2.661846232,4.399563598,3.471288944,0.661676558,0.245865782
P2RY8,1.622931103,1.548048001,1.261348866,2.09384084,2.177178076,1.980579102,0,0
PTGER2,1.23451744,1.33494271,1.285476357,1.584062217,3.863628081,3.479561668,0.091148867,0.023447836
FOSL2,3.45205738,3.37146838,2.895699872,4.013901959,5.497149291,3.836328496,1.543264808,1.417861859
KLHL6,0.461039643,0.330114257,0.353611951,0.544803647,0.479650886,0.370396087,0.016030567,0
TAP1,24.17942787,23.4599051,30.85341331,26.87682704,91.23715187,84.00423945,2.14621436,2.160163022
MYL12A,10.48840325,13.17010834,11.52979504,11.93122659,18.78466984,15.38717703,4.515169365,6.254321925
IKBKE,0.850058193,0.744163095,0.661172738,0.843893024,1.091714449,0.821322975,0.059459548,0.061183328
EML3,2.24497617,3.028527208,2.238249927,2.402282769,3.173656055,3.176021534,0.975139299,1.151280217
C1R,4.390331554,8.944934839,4.726610283,5.691359239,15.50646528,12.46704711,0.488358901,0.729142043
